Pos |Antal|Värde   |Artikelnummer       |Komponenttyp             |Beskrivning              |KompID
1   |1    |        |PB6261/01/0         |CON_PB6261               |                         |J1
2   |1    |        |ZC6541/01           |SPT9689                  |Comparator x 2           |U42
3   |1    |        |                    |CON_EVALB                |                         |J9
4   |1    |        |                    |JAKU02                   |<NO_DESCRIP>             |U44
5   |1    |        |MAX706_SO8_50       |MAX706                   |Supply Voltage Supervisor with Watchdog|U7
6   |1    |        |                    |MAX706                   |                         |U7
7   |1    |        |ZD5008/../111/0     |74ABT125                 |Buffer 3-State           |U35
8   |1    |        |                    |74ABT125                 |                         |U35
9   |1    |        |                    |XC17256                  |                         |U13
10  |1    |        |ZD6872/33/255/0     |XC4028                   |<NO_DESCRIP>             |U32
11  |1    |        |ZD2752/01           |XC17256                  |<NO_DESCRIP>             |U13
12  |1    |715     |RES0805             |RES0805                  |                         |R324
13  |1    |237     |RES0805             |RES0805                  |                         |R323
14  |1    |        |HC7054/01           |PT6405E                  |Switch reg.              |U39
15  |1    |        |HC7055/01           |PT6901C                  |Switch reg.              |U40
16  |1    |        |ZC1409/01           |LM317_TO263              |<NO_DESCRIP>             |U10
17  |1    |        |ZC1408/01           |LM337_TO263              |Voltage Regulator        |U11
18  |1    |500     |RV9002/./.../0      |TRIM_44W                 |                         |R7
19  |1    |        |631905034           |320C31                   |<NO_DESCRIP>             |U18
20  |1    |        |                    |320C31                   |                         |U18
21  |1    |470     |RES0805             |RES0805                  |                         |R299
22  |1    |        |ZV9001/0/01/0       |PTC1812                  |                         |R8
23  |1    |        |                    |EDI8L32512V              |SRAM, 512k x 32-bit      |U5
24  |1    |        |                    |EDI8L32512V              |                         |U5
25  |1    |        |                    |A54SX16                  |                         |U34
26  |1    |        |ZC1763/01           |SPT7760                  |<NO_DESCRIP>             |U8
27  |1    |        |OP297_SO8_50        |OP297                    |Amplifier, 2 x           |U4
28  |1    |180     |RES0805             |RES0805                  |                         |R342
29  |1    |3k      |RES0805             |RES0805                  |                         |R341
30  |1    |        |ZD1646/01           |AD8055                   |Amplifier                |U2
31  |1    |        |                    |AD8055                   |                         |U2
32  |1    |40      |RES0805             |RES0805                  |                         |R345
33  |1    |10      |RES0805             |RES0805                  |                         |R343
34  |1    |301     |RES0805             |RES0805                  |                         |R344
35  |1    |30      |RES0805             |RES0805                  |                         |R3
36  |1    |1481    |RES0805             |RES0805                  |                         |R1
37  |1    |        |                    |OP297                    |                         |U4
38  |1    |        |631925481           |2907A                    |PNP transistor           |Q1
39  |1    |401     |RES0805             |RES0805                  |                         |R346
40  |1    |10K     |RV9002/./.../0      |TRIM_44W                 |                         |R2
41  |1    |2K      |RV9002/./.../0      |TRIM_44W                 |                         |R5
42  |1    |        |ZD1635/01/0         |LT1236                   |                         |U1
43  |1    |999p    |CAP0805             |CAP0805                  |                         |C3
44  |1    |        |ZC6531/01           |100E195                  |Prog Delay Chip          |U12
45  |1    |        |ZC6528/01           |100324                   |6 x Interface            |U31
46  |1    |        |ZC6540/01           |100ELT25                 |<NO_DESCRIP>             |U51
47  |1    |        |631914437           |AM7960                   |Coded  Data Transceiver  |U3
48  |1    |        |631914437           |AM7960                   |                         |U3
49  |1    |        |54HCT257_SO16_50    |HCT257                   |Multiplexer              |U52
50  |1    |        |                    |HCT257                   |                         |U52
51  |1    |        |MAX814_SO8_50       |MAX814                   |<NO_DESCRIP>             |UU14
52  |1    |11.0592MHz|XX2016/.../.        |XX2016                   |Oscillator               |XX2
53  |1    |        |                    |XX2016                   |                         |XX2
54  |1    |        |                    |MAX232                   |                         |UU4
55  |1    |        |ZD6856/../205/0     |80C517A                  |<NO_DESCRIP>             |UU5
56  |1    |10n     |CK9001/.././0       |CK9001_0805              |                         |CC16
57  |1    |2.67K   |RM9003/./..../0     |RM9003                   |                         |RR15
58  |1    |        |631925490           |MAX232                   |                         |UU4
59  |1    |        |ZC1039/03/3/0       |7805                     |Voltage Regulator        |UU6
60  |1    |        |ZD6022/../5/.       |71256                    |Read/Write Memory, 32k x 8-bit|UU3
61  |1    |        |                    |71256                    |                         |UU3
62  |1    |        |X9241_SOL20_50      |X9241                    |Quad Potentiometer       |RR1
63  |1    |        |                    |X9241                    |                         |RR1
64  |1    |3.7579545MHz|XX1053/../0         |XX1053                   |                         |XX1
65  |1    |4.7K    |RM9003/./..../0     |RM9003                   |                         |R108
66  |1    |374K    |RM9003/./..../0     |RM9003                   |                         |RR17
67  |1    |        |HCT373_SOL20_50     |54HCT373                 |Latch, 8-bit             |UU10
68  |1    |        |                    |54HCT373                 |                         |UU10
69  |1    |10K     |RV9003/J/.../0      |RV9003_J                 |                         |RR2
70  |1    |        |PB8302/320/0        |CON_PB8302/320/0         |                         |PP25
71  |1    |        |PB8302/305/0        |CON_PB8302/305/0         |                         |PP24
72  |1    |        |PB8302/307/0        |CON_PB8302/307/0         |                         |PP22
73  |1    |        |ZD1610/02/5/0       |AD7528                   |<NO_DESCRIP>             |UU15
74  |1    |        |ZC1107/12/0         |MAX664                   |<NO_DESCRIP>             |UU7
75  |1    |        |ZD1618/../5/0       |DAC8229                  |<NO_DESCRIP>             |UU11
76  |2    |        |PB1936/160/01/0     |PB1936/160/01/0          |                         |P1,P2
77  |2    |        |PB8302/112/0        |CON_PB8302/112/0         |                         |P15,P21
78  |2    |        |XCHECKER            |XCHECKER                 |<NO_DESCRIP>             |P11,PP16
79  |2    |        |ZD5010/../181/0     |ABT16245                 |16 x Bus Transceiver     |U9,U41
80  |2    |        |                    |ABT16245                 |                         |U9,U41
81  |2    |        |ST1365/01/0         |ST1365/01/0              |                         |S1,S2
82  |2    |120     |RES0805             |RES0805                  |                         |R4,R334
83  |2    |        |PB2404/00/050/0     |PB2404/00/050/0          |                         |J3,J10
84  |2    |        |PB2404/00/030/0     |PB2404/00/030/0          |                         |J2,J11
85  |2    |        |PB8302/306/0        |CON_PB8302/306/0         |                         |P3,PP7
86  |2    |        |ZD2870/01/0         |AM29LV800                |<NO_DESCRIP>             |U6,U38
87  |2    |10K     |RES0805             |RES0805                  |                         |R24,R332
88  |2    |        |XC9536_PLCC44_50    |XC9536                   |                         |U20,UU43
89  |2    |5.1k    |RES0805             |RES0805                  |                         |R6,R337
90  |2    |        |ZC6532/01           |100EL38                  |Clock Driver             |U19,U25
91  |2    |1K      |RM9003/./..../0     |RM9003                   |                         |RR11,RR16
92  |2    |        |ZD2865/.././0       |28C256                   |                         |UU1,UU2
93  |2    |        |                    |28C256                   |                         |UU1,UU2
94  |2    |100K    |RM9003/./..../0     |RM9003                   |                         |RR13,RR14
95  |3    |33      |RES0805             |RES0805                  |                         |R9,R10,R12
96  |3    |        |ZL8005/10/0         |1N827                    |zener                    |D1,D2,D3
97  |3    |20K     |RES0805             |RES0805                  |                         |R329,R330,R331
98  |3    |10n     |CAP0805             |CAP0805                  |                         |C206,C214,C222
99  |3    |        |PB8302/308/0        |CON_PB8302/308/0         |                         |PP2,PP4,PP17
